年份,得獎,中文名稱,英文名稱,連結,movieGrading,movieDuration,movieRating,movieComment,movieDirector,movieWriter,movieCast1,movieCast2,movieCast3,movieCast4,movieCast5,movieCast6,movieCast7,movieCast8,movieCast9,movieCast10,movieCast11,movieCast12,movieCast13,movieCast14,movieCast15,movieCast16,movieCast17,movieCast18,movieCountry,Action,Adventure,Biography,Comedy,Crime,Drama,Fantasy,History,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War
2006,1,衝擊效應,Crash,https://www.imdb.com/title/tt0375679/?ref_=ev_nom,R-12,1h 52m,7.7,444K,Paul Haggis,"Paul Haggis, Bobby Moresco",Don Cheadle', 'Sandra Bullock', 'Thandiwe Newton', 'Karina Arroyave', 'Dato Bakhtadze', 'Art Chudabala', 'Sean Cory', 'Tony Danza', 'Keith David', 'Loretta Devine', 'Matt Dillon', 'Jennifer Esposito', 'Ime Etuk', 'Eddie J. Fernandez', 'William Fichtner', 'Howard Fong', 'Brendan Fraser', 'Billy Gallo',United States,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
2006,0,慕尼黑,Munich,https://www.imdb.com/title/tt0408306/?ref_=ev_nom,R,2h 44m,7.5,234K,Steven Spielberg,"Tony Kushner, Eric Roth, George Jonas",Eric Bana', 'Daniel Craig', 'Marie-Jos矇e Croze', 'Ciar獺n Hinds', 'Mathieu Kassovitz', 'Hanns Zischler', 'Ayelet Zurer', 'Geoffrey Rush', 'Gila Almagor', 'Michael Lonsdale', 'Mathieu Amalric', 'Moritz Bleibtreu', 'Valeria Bruni Tedeschi', 'Meret Becker', 'Yvan Attal', 'Ami Weinberg', 'Lynn Cohen', 'Amos Lavi',United States,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
2006,0,斷背山,Brokeback Mountain,https://www.imdb.com/title/tt0388795/?ref_=ev_nom,R-12,2h 14m,7.7,372K,Ang Lee,"Annie Proulx, Larry McMurtry, Diana Ossana",Jake Gyllenhaal', 'Heath Ledger', 'Michelle Williams', 'Randy Quaid', 'Valerie Planche', 'Dave Trimble', 'Victor Reyes', 'Lachlan Mackintosh', 'Larry Reese', 'Marty Antonini', 'Tom Carey', 'Dan McDougall', 'Don Bland', 'Steven Cree Molison', 'Anne Hathaway', 'Duval Lang', 'Dean Barrett', 'Hannah Stewart',United States,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2006,0,晚安，祝你好運,"Good Night, and Good Luck.",https://www.imdb.com/title/tt0433383/?ref_=ev_nom,PG,1h 33m,7.4,100K,George Clooney,"George Clooney, Grant Heslov",David Strathairn', 'George Clooney', 'Patricia Clarkson', 'Jeff Daniels', 'Alex Borstein', 'Rose Abdoo', 'Dianne Reeves', 'Peter Martin', 'Christoph Luty', 'Jeff Hamilton', 'Matt Catingub', 'Tate Donovan', 'Reed Diamond', 'Matt Ross', 'Robert Downey Jr.', 'Tom McCarthy', 'Glenn Morshower', 'Don Creech',United States,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
2006,0,柯波帝：冷血告白,Capote,https://www.imdb.com/title/tt0379725/?ref_=ev_nom,R,1h 54m,7.3,138K,Bennett Miller,"Dan Futterman, Gerald Clarke",Philip Seymour Hoffman', 'Clifton Collins Jr.', 'Catherine Keener', 'Allie Mickelson', 'Kelci Stephenson', 'Craig Archibald', 'Bronwen Coleman', 'Kate Shindle', 'David Wilson Barnes', 'Michael J. Burg', 'Kwesi Ameyaw', 'Andrew Farago', 'Ken Krotowich', 'Chris Cooper', 'R.D. Reid', 'Rob McLaughlin', 'Harry Nelken', 'Jon Ted Wynne',United States,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
2007,1,神鬼無間,The Departed,https://www.imdb.com/title/tt0407887/?ref_=ev_nom,18 +,2h 31m,8.5,1.4M,Martin Scorsese,"William Monahan, Alan Mak, Felix Chong",Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg', 'Martin Sheen', 'Ray Winstone', 'Vera Farmiga', 'Anthony Anderson', 'Alec Baldwin', 'Kevin Corrigan', 'James Badge Dale'," ""David O'Hara""", 'Mark Rolston', 'Robert Wahlberg', 'Kristen Dalton', 'Thomas B. Duffy', 'Richard Hughes', 'J.C. MacKenzie',United States,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
2007,0,來自硫磺島的信,Letters from Iwo Jima,https://www.imdb.com/title/tt0498380/?ref_=ev_nom,R,2h 21m,7.8,167K,Clint Eastwood,"Iris Yamashita, Paul Haggis, Tadamichi Kuribayashi",Ken Watanabe', 'Kazunari Ninomiya', 'Tsuyoshi Ihara', 'Ryo Kase', 'Shid繫 Nakamura', 'Hiroshi Watanabe', 'Takumi Bando', 'Yuki Matsuzaki', 'Takashi Yamaguchi', 'Eijiro Ozaki', 'Nae', 'Nobumasa Sakagami', 'Lucas Elliot Eberl', 'Sonny Saito', 'Steve Santa Sekiyoshi', 'Hiro Abe', 'Toshiya Agata', 'Yoshi Ishii',United States,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
2007,0,小太陽的願望,Little Miss Sunshine,https://www.imdb.com/title/tt0449059/?ref_=ev_nom,PG-12,1h 41m,7.8,503K,"Jonathan Dayton, Valerie Faris",Michael Arndt,Steve Carell', 'Toni Collette', 'Greg Kinnear', 'Abigail Breslin', 'Paul Dano', 'Alan Arkin', 'Marc Turtletaub', 'Jill Talley', 'Brenda Canela', 'Julio Oscar Mechoso', 'Chuck Loring', 'Justin Shilton', 'Gordon Thomson', 'Steven Christopher Parker', 'Bryan Cranston', 'John Walcutt', 'Paula Newsome', 'Dean Norris',United States,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2007,0,火線交錯,Babel,https://www.imdb.com/title/tt0449467/?ref_=ev_nom,R-12,2h 23m,7.5,312K,Alejandro G. I__rritu,"Guillermo Arriaga, Alejandro G. I__rritu",Brad Pitt', 'Cate Blanchett', 'Gael Garc穩a Bernal', 'Mohamed Akhzam', 'Peter Wight', 'Harriet Walter', 'Trevor Martin', 'Matyelok Gibbs', 'Georges Bousquet', 'Claudine Acs', 'Andr矇 Oumansky', 'Michael Maloney', 'Dermot Crowley', 'Wendy Nottingham', 'Henry Maratray', 'Linda Broughton', 'Jean Marc Hulot', 'Aline Mowat',United States,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2007,0,黛妃與女皇,The Queen,https://www.imdb.com/title/tt0436697/?ref_=ev_nom,PG-13,1h 43m,7.3,114K,Stephen Frears,Peter Morgan,Helen Mirren', 'Michael Sheen', 'James Cromwell', 'Alex Jennings', 'Roger Allam', 'Sylvia Syms', 'Tim McMullan', 'Robin Soans', 'Lola Peploe', 'Douglas Reith', 'Joyce Henderson', 'Pat Laffan', 'Amanda Hadingue', 'John McGlynn'," ""Gray O'Brien""", 'Dolina MacLennan', 'Jake Taylor Shantos', 'Dash Barber',United Kingdom,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
