¦~¥÷,±o¼ú,¤¤¤å¦WºÙ,­^¤å¦WºÙ,³sµ²
2015,0,¶iÀ»ªº¹ª¤â,Whiplash,https://www.imdb.com/title/tt2582802/?ref_=ev_nom
2016,1,ÅåÃzµJÂI,Spotlight,https://www.imdb.com/title/tt1895587/?ref_=ev_nom
2016,0,¤£¦s¦bªº©Ð¶¡,Room,https://www.imdb.com/title/tt3170832/?ref_=ev_nom
2016,0,¤j½æªÅ,The Big Short,https://www.imdb.com/title/tt1596363/?ref_=ev_nom
2016,0,·R¦b¥L¶m,Brooklyn,https://www.imdb.com/title/tt2381111/?ref_=ev_nom
2016,0,ºÆ¨g³Á´µ¡G¼««ã¹D,Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/?ref_=ev_nom
2016,0,¯«°­Ây¤H,The Revenant,https://www.imdb.com/title/tt1663202/?ref_=ev_nom
2016,0,µ´¦a±Ï´©,The Martian,https://www.imdb.com/title/tt3659388/?ref_=ev_nom
2016,0,¶¡¿Ò¾ô,Bridge of Spies,https://www.imdb.com/title/tt3682448/?ref_=ev_nom
2017,1,¤ë¥ú¤UªºÂÅ¦â¨k«Ä,Moonlight,https://www.imdb.com/title/tt4975722/?ref_=ev_nom
2017,0,¤ßÆF³òÆX,Fences,https://www.imdb.com/title/tt2671706/?ref_=ev_nom
2017,0,¼Ö¨Ó¶V·R§A,La La Land,https://www.imdb.com/title/tt3783958/?ref_=ev_nom
2017,0,®üÃäªº°Ò¹ý´µ¯S,Manchester by the Sea,https://www.imdb.com/title/tt4034228/?ref_=ev_nom
2017,0,º©º©¦^®a¸ô,Lion,https://www.imdb.com/title/tt3741834/?ref_=ev_nom
2017,0,²§¬P¤J¹Ò,Arrival,https://www.imdb.com/title/tt2543164/?ref_=ev_nom
2017,0,­u´öÁÐ¤õ,Hell or High Water,https://www.imdb.com/title/tt2582782/?ref_=ev_nom
2017,0,¿ûÅK­^¶¯,Hacksaw Ridge,https://www.imdb.com/title/tt2119532/?ref_=ev_nom
2017,0,ÃöÁä¤Ö¼Æ,Hidden Figures,https://www.imdb.com/title/tt4846340/?ref_=ev_nom
2018,1,¤ô©³±¡²`,The Shape of Water,https://www.imdb.com/title/tt5580390/?ref_=ev_nom
2018,0,¥H§Aªº¦W¦r©I³ê§Ú,Call Me by Your Name,https://www.imdb.com/title/tt5726616/?ref_=ev_nom
2018,0,·N¥~,"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/?ref_=ev_nom
2018,0,´°§Jº¸§J¤j¦æ°Ê,Dunkirk,https://www.imdb.com/title/tt5013056/?ref_=ev_nom
2018,0,³Ì¶Â·tªº®É¨è,Darkest Hour,https://www.imdb.com/title/tt4555426/?ref_=ev_nom
2018,0,²Q¤k³¾,Lady Bird,https://www.imdb.com/title/tt4925292/?ref_=ev_nom
2018,0,°k¥Xµ´©RÂí,Get Out,https://www.imdb.com/title/tt5052448/?ref_=ev_nom
2018,0,¶l³ø¡G±K¾Ô,The Post,https://www.imdb.com/title/tt6294822/?ref_=ev_nom
2018,0,ÀO»n¾y¼v,Phantom Thread,https://www.imdb.com/title/tt5776858/?ref_=ev_nom
2019,1,©¯ºÖºñ¥Ö®Ñ,Green Book,https://www.imdb.com/title/tt6966692/?ref_=ev_nom
2019,0,¤@­Ó¥¨¬Pªº½Ï¥Í,A Star Is Born,https://www.imdb.com/title/tt1517451/?ref_=ev_nom
2019,0,ªi§Æ¦Ì¨È¨g·Q¦±,Bohemian Rhapsody,https://www.imdb.com/title/tt1727824/?ref_=ev_nom
2019,0,¬°°Æ¤£¤¯,Vice,https://www.imdb.com/title/tt6266538/?ref_=ev_nom
2019,0,¯uÃd,The Favourite,https://www.imdb.com/title/tt5083738/?ref_=ev_nom
2019,0,Ã¹°¨,Roma,https://www.imdb.com/title/tt6155172/?ref_=ev_nom
2019,0,¶Â¦âÄÒ®{,BlacKkKlansman,https://www.imdb.com/title/tt7349662/?ref_=ev_nom
2019,0,¶Â°\,Black Panther,https://www.imdb.com/title/tt1825683/?ref_=ev_nom
2020,1,±H¥Í¤W¬y,Gisaengchung,https://www.imdb.com/title/tt6751668/?ref_=ev_nom
2020,0,1917,1917,https://www.imdb.com/title/tt8579674/?ref_=ev_nom
2020,0,¨ß¼J¨k«Ä,Jojo Rabbit (original title),https://www.imdb.com/title/tt2584384/?ref_=ev_nom
2020,0,¦o­Ì,Little Women,https://www.imdb.com/title/tt3281548/?ref_=ev_nom
2020,0,±B«Ã¬G¨Æ,Marriage Story,https://www.imdb.com/title/tt7653254/?ref_=ev_nom
2020,0,¤p¤¡,Joker,https://www.imdb.com/title/tt7286456/?ref_=ev_nom
2020,0,±q«e¡A¦³­Ó¦nµÜ¶õ,Once Upon a Time in... Hollywood,https://www.imdb.com/title/tt7131622/?ref_=ev_nom
2020,0,·Rº¸Äõ¤H,The Irishman (original title),https://www.imdb.com/title/tt1302006/?ref_=ev_nom
2020,0,ÁÉ¹D¨g¤H,Ford v Ferrari (original title),https://www.imdb.com/title/tt1950186/?ref_=ev_nom
2021,1,´åªª¤H¥Í,Nomadland,https://www.imdb.com/title/tt9770150/?ref_=ev_nom
2021,0,¹Ú·Q¤§¦a,Minari,https://www.imdb.com/title/tt10633456/?ref_=ev_nom
2021,0,°Ò§J,Mank,https://www.imdb.com/title/tt10618286/?ref_=ev_nom
2021,0,¤÷¿Ë,The Father,https://www.imdb.com/title/tt10272386/?ref_=ev_nom
2021,0,µS¤j»P¶Â¦âÀ±ÁÉ¨È,Judas and the Black Messiah,https://www.imdb.com/title/tt9784798/?ref_=ev_nom
2021,0,ªÛ¥[­ô¤C¤H®×¡GÅå¥@¼f§P,The Trial of the Chicago 7,https://www.imdb.com/title/tt1070874/?ref_=ev_nom
2021,0,ªáºy¤k¤l,Promising Young Woman,https://www.imdb.com/title/tt9620292/?ref_=ev_nom
2021,0,ÀR±Iªº¹ª¤â,Sound of Metal,https://www.imdb.com/title/tt5363618/?ref_=ev_nom
2022,1,¼Ö°Ê¤ß±Û«ß,CODA,https://www.imdb.com/title/tt10366460/?ref_=ev_nom
2022,0,¤d¸U§O©ïÀY,Don't Look Up,https://www.imdb.com/title/tt11286314/?ref_=ev_nom
2022,0,¦b¨®¤W,Doraibu mai k_ ,https://www.imdb.com/title/tt14039582/?ref_=ev_nom
2022,0,©]¸ô,Nightmare Alley,https://www.imdb.com/title/tt7740496/?ref_=ev_nom
2022,0,¨F¥C,Dune: Part One,https://www.imdb.com/title/tt1160419/?ref_=ev_nom
2022,0,¤ü¤s°O,The Power of the Dog,https://www.imdb.com/title/tt10293406/?ref_=ev_nom
2022,0,¤ýªÌ²z¬d,King Richard,https://www.imdb.com/title/tt9620288/?ref_=ev_nom
2022,0,¥Ì¯ó©ÜÂÄ,Licorice Pizza,https://www.imdb.com/title/tt11271038/?ref_=ev_nom
2022,0,¦è«°¬G¨Æ,West Side Story,https://www.imdb.com/title/tt3581652/?ref_=ev_nom
2022,0,¨©º¸ªk´µ¯S,Belfast,https://www.imdb.com/title/tt12789558/?ref_=ev_nom
2023,1,¶ýªº¦h­«¦t©z,Everything Everywhere All at Once,https://www.imdb.com/title/tt6710474/?ref_=ev_nom
2023,0,T_R¶ðº¸,T_r,https://www.imdb.com/title/tt14444726/?ref_=ev_nom
2023,0,¥ì¥§ªÙªLªº¤k§¯,The Banshees of Inisherin,https://www.imdb.com/title/tt11813216/?ref_=ev_nom
2023,0,®Â½Ã¾Ô¤h¡G¿W¦æ«L,Top Gun: Maverick,https://www.imdb.com/title/tt1745960/?ref_=ev_nom
2023,0,¨S¦³Án­µªº¤k¤H­Ì,Women Talking,https://www.imdb.com/title/tt13669038/?ref_=ev_nom
2023,0,ªk¨©º¸°Ò,The Fabelmans,https://www.imdb.com/title/tt14208870/?ref_=ev_nom
2023,0,ºÆ¨g´I§@¥Î,Triangle of Sadness,https://www.imdb.com/title/tt7322224/?ref_=ev_nom
2023,0,¦è½uµL¾Ô¨Æ,Im Westen nichts Neues,https://www.imdb.com/title/tt1016150/?ref_=ev_nom
2023,0,¿ß¤ý¦ãºû´µ,Elvis,https://www.imdb.com/title/tt3704428/?ref_=ev_nom
2023,0,ªü¤Z¹F¡G¤ô¤§¹D,Avatar: The Way of Water,https://www.imdb.com/title/tt1630029/?ref_=ev_nom
